Using linkage method for clustering
Using RMSD cutoff 0.15 nm
The RMSD ranges from 0.108614 to 0.897564 nm
Average RMSD is 0.559916
Number of structures for matrix 126
Energy of the matrix is 3.75688.

Found 118 clusters

Writing middle structure for each cluster to sandrozzona-multiscala/tat_4_vuoto/Simulated_Annealing/clusterSA_tat4v_2.pdb
Writing all structures for clusters with more than 1 structures to sandrozzona-multiscala/tat_4_vuoto/Simulated_Annealing/clusterSA_tat4v_2.pdb%03d.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |   4  0.163 |  150.4 .141 |    150  150.4  150.8  151.2
  2 |   1       |  151.6      |  151.6
  3 |   1       |    152      |    152
  4 |   1       |  152.4      |  152.4
  5 |   1       |  152.8      |  152.8
  6 |   1       |  153.2      |  153.2
  7 |   1       |  153.6      |  153.6
  8 |   1       |    154      |    154
  9 |   1       |  154.4      |  154.4
 10 |   1       |  154.8      |  154.8
 11 |   1       |  155.2      |  155.2
 12 |   1       |  155.6      |  155.6
 13 |   1       |    156      |    156
 14 |   1       |  156.4      |  156.4
 15 |   1       |  156.8      |  156.8
 16 |   1       |  157.2      |  157.2
 17 |   1       |  157.6      |  157.6
 18 |   1       |    158      |    158
 19 |   1       |  158.4      |  158.4
 20 |   1       |  158.8      |  158.8
 21 |   1       |  159.2      |  159.2
 22 |   1       |  159.6      |  159.6
 23 |   1       |    160      |    160
 24 |   1       |  160.4      |  160.4
 25 |   1       |  160.8      |  160.8
 26 |   1       |  161.2      |  161.2
 27 |   1       |  161.6      |  161.6
 28 |   1       |    162      |    162
 29 |   1       |  162.4      |  162.4
 30 |   1       |  162.8      |  162.8
 31 |   1       |  163.2      |  163.2
 32 |   1       |  163.6      |  163.6
 33 |   1       |    164      |    164
 34 |   1       |  164.4      |  164.4
 35 |   1       |  164.8      |  164.8
 36 |   1       |  165.2      |  165.2
 37 |   1       |  165.6      |  165.6
 38 |   2  0.149 |    166 .149 |    166  166.4
 39 |   1       |  166.8      |  166.8
 40 |   1       |  167.2      |  167.2
 41 |   1       |  167.6      |  167.6
 42 |   1       |    168      |    168
 43 |   1       |  168.4      |  168.4
 44 |   1       |  168.8      |  168.8
 45 |   1       |  169.2      |  169.2
 46 |   1       |  169.6      |  169.6
 47 |   1       |    170      |    170
 48 |   1       |  170.4      |  170.4
 49 |   1       |  170.8      |  170.8
 50 |   1       |  171.2      |  171.2
 51 |   1       |  171.6      |  171.6
 52 |   1       |    172      |    172
 53 |   1       |  172.4      |  172.4
 54 |   1       |  172.8      |  172.8
 55 |   1       |  173.2      |  173.2
 56 |   1       |  173.6      |  173.6
 57 |   1       |    174      |    174
 58 |   1       |  174.4      |  174.4
 59 |   1       |  174.8      |  174.8
 60 |   1       |  175.2      |  175.2
 61 |   1       |  175.6      |  175.6
 62 |   1       |    176      |    176
 63 |   1       |  176.4      |  176.4
 64 |   1       |  176.8      |  176.8
 65 |   1       |  177.2      |  177.2
 66 |   1       |  177.6      |  177.6
 67 |   1       |    178      |    178
 68 |   1       |  178.4      |  178.4
 69 |   1       |  178.8      |  178.8
 70 |   1       |  179.2      |  179.2
 71 |   1       |  179.6      |  179.6
 72 |   1       |    180      |    180
 73 |   1       |  180.4      |  180.4
 74 |   1       |  180.8      |  180.8
 75 |   1       |  181.2      |  181.2
 76 |   1       |  181.6      |  181.6
 77 |   1       |    182      |    182
 78 |   1       |  182.4      |  182.4
 79 |   1       |  182.8      |  182.8
 80 |   1       |  183.2      |  183.2
 81 |   1       |  183.6      |  183.6
 82 |   1       |    184      |    184
 83 |   1       |  184.4      |  184.4
 84 |   1       |  184.8      |  184.8
 85 |   1       |  185.2      |  185.2
 86 |   1       |  185.6      |  185.6
 87 |   1       |    186      |    186
 88 |   1       |  186.4      |  186.4
 89 |   1       |  186.8      |  186.8
 90 |   1       |  187.2      |  187.2
 91 |   1       |  187.6      |  187.6
 92 |   1       |    188      |    188
 93 |   1       |  188.4      |  188.4
 94 |   1       |  188.8      |  188.8
 95 |   1       |  189.2      |  189.2
 96 |   1       |  189.6      |  189.6
 97 |   1       |    190      |    190
 98 |   1       |  190.4      |  190.4
 99 |   1       |  190.8      |  190.8
100 |   1       |  191.2      |  191.2
101 |   1       |  191.6      |  191.6
102 |   1       |    192      |    192
103 |   1       |  192.4      |  192.4
104 |   1       |  192.8      |  192.8
105 |   1       |  193.2      |  193.2
106 |   1       |  193.6      |  193.6
107 |   1       |    194      |    194
108 |   1       |  194.4      |  194.4
109 |   1       |  194.8      |  194.8
110 |   2  0.150 |  195.2 .150 |  195.2  195.6
111 |   1       |    196      |    196
112 |   1       |  196.4      |  196.4
113 |   4  0.163 |  197.6 .156 |  196.8  197.2  197.6    198
114 |   1       |  198.4      |  198.4
115 |   1       |  198.8      |  198.8
116 |   1       |  199.2      |  199.2
117 |   1       |  199.6      |  199.6
118 |   1       |    200      |    200
